tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-19 00:00:00,20:00:00,KUV,3,Al Salmiyah,Al-Kuwait,2 - 2,3 - 4,6.61,4.64,1.17,5.99,2.37,1.57,1.54,1.73,1.93,0.0,0.0,1.43,1.91,0.0,0.0,2.22,1.29,1.42,1.92,5.15,1.97,2.73,6.95
2024-10-20 00:00:00,18:15:00,İTB,2,Cesena,Sampdoria,2 - 2,3 - 5,2.06,2.85,2.82,2.76,1.83,3.54,1.72,1.64,1.11,1.11,1.26,1.18,2.9,2.61,1.24,1.47,1.97,1.1,3.55,2.65,1.77,4.43,23.15
2024-10-20 00:00:00,15:30:00,HOL,2,Heracles,Ajax,2 - 2,3 - 4,6.37,4.66,1.22,5.83,2.45,1.64,1.53,1.86,1.94,0.0,0.0,1.49,1.92,4.84,0.0,2.35,1.31,1.5,1.92,5.41,2.0,2.68,6.53
2024-10-20 00:00:00,01:00:00,ABD,2,Inter Miami,New England,2 - 2,6 - 2,1.2,4.76,5.43,1.57,2.59,4.9,1.27,2.28,0.0,0.0,1.85,1.66,1.61,6.52,0.0,3.05,1.12,1.8,1.5,8.28,2.34,2.38,4.08
2024-10-22 00:00:00,15:30:00,UEGL,3,Paris Sg U19,Psv Eindhoven U,2 - 2,3 - 3,2.28,3.25,2.25,2.79,2.13,2.76,1.35,2.21,1.21,1.08,1.2,1.39,2.12,4.14,1.05,2.05,1.42,1.36,2.18,4.46,1.89,2.92,8.55
2024-10-24 00:00:00,15:00:00,AFCŞL2,3,Tampines Rover,M Nam Dinh,2 - 2,3 - 3,4.82,4.08,1.3,4.72,2.31,1.72,1.38,1.98,1.7,1.05,1.05,1.44,1.87,4.15,1.06,2.29,1.27,1.45,1.86,5.44,2.0,2.67,6.5
2024-10-25 00:00:00,18:05:00,SUUD,3,Al Kholood,Al Nassr (Riyad,2 - 2,3 - 3,7.27,4.76,1.14,6.41,2.4,1.53,1.59,1.68,1.98,0.0,0.0,1.43,1.91,4.07,0.0,2.21,1.3,1.42,1.93,5.13,1.96,2.73,7.01
2024-10-25 00:00:00,20:00:00,AL3,2,Ingolstadt,B.Dortmund (Amt,2 - 2,5 - 3,1.76,3.46,3.0,2.23,2.24,3.36,1.31,2.36,1.09,1.06,1.38,1.48,1.95,4.81,1.05,2.31,1.32,1.49,1.93,5.34,1.99,2.68,6.65
2024-10-26 00:00:00,17:00:00,İNP,1,Brentford,Ipswich,2 - 2,4 - 3,1.46,3.67,4.31,1.97,2.16,4.56,1.53,1.87,0.0,0.0,1.6,1.35,2.21,3.82,1.08,1.94,1.49,1.31,2.34,4.06,1.85,3.08,9.86
2024-10-26 00:00:00,15:45:00,POL,2,Cracovia Krako,Motor Lublin,2 - 2,6 - 2,1.54,3.23,3.76,2.08,1.98,4.19,1.55,1.72,0.0,1.05,1.44,1.25,2.36,3.2,1.1,1.68,1.58,1.19,2.63,3.43,1.79,3.46,13.25
