tarih,saat,lig,mbs,ev,deplasman,iy sonuc,ms sonuc,ms1,msx,ms2,iy1,iyx,iy2,kgvar,kgyok,ciftsans1/x,cs1/2,csx/2,iy1.5a,iy1.5u,1.5a,1.5u,2.5a,2.5u,3.5a,3.5u,toplamgol0-1,tg2-3,tg4-5,tg6+
2024-10-18 00:00:00,21:45:00,İR1,3,Cork City,Wexford Youths,3 - 0,6 - 0,1.63,3.21,3.35,2.16,2.0,3.81,1.48,1.83,0.0,0.0,1.39,1.27,2.27,3.39,1.07,1.76,1.52,1.22,2.48,3.66,1.81,3.3,11.8
2024-10-18 00:00:00,21:45:00,İKCL,3,Hamilton,Falkirk,0 - 3,1 - 3,4.53,3.68,1.37,4.64,2.15,1.83,1.47,1.83,1.61,0.0,0.0,1.35,2.08,3.92,1.05,1.96,1.4,1.31,2.17,4.34,1.88,2.97,8.92
2024-10-18 00:00:00,20:00:00,DAN1,3,Hb Koge,Hobro,3 - 1,4 - 1,3.8,3.45,1.49,3.94,2.21,1.92,1.32,2.12,1.49,0.0,0.0,1.42,1.92,4.52,0.0,2.17,1.31,1.42,1.93,5.14,1.96,2.73,7.0
2024-10-18 00:00:00,21:15:00,İSV2,3,Schaffhausen,Aarau,0 - 3,0 - 3,2.72,2.9,1.95,3.3,1.89,2.55,1.51,1.76,1.25,1.06,1.09,1.23,2.44,2.99,1.12,1.59,1.67,1.15,2.83,3.18,1.78,3.69,15.35
2024-10-18 00:00:00,21:00:00,FR2,2,Stade Lavalloi,Dunkerque,3 - 0,3 - 2,1.94,2.85,3.07,2.59,1.86,3.72,1.68,1.67,1.09,1.11,1.3,1.2,2.8,2.71,1.22,1.5,1.9,1.12,3.37,2.77,1.77,4.22,20.7
2024-10-19 00:00:00,17:30:00,KAT,3,Al Shamal,Al Arabi,4 - 2,5 - 2,3.2,3.27,1.64,3.57,2.09,2.14,1.36,2.04,1.38,0.0,1.05,1.35,2.06,4.0,0.0,1.98,1.38,1.32,2.13,4.43,1.89,2.93,8.62
2024-10-19 00:00:00,15:00:00,İS1,1,Athletic Bilba,Espanyol,3 - 0,4 - 1,1.29,3.86,6.32,1.8,2.09,6.33,1.9,1.5,0.0,0.0,1.81,1.26,2.5,3.12,1.15,1.67,1.69,1.18,2.87,3.22,1.78,3.65,14.95
2024-10-19 00:00:00,16:00:00,MAC,3,Debreceni,Paksi,0 - 3,0 - 5,1.95,3.1,2.56,2.45,2.06,3.02,1.33,2.1,1.11,1.05,1.25,1.34,2.08,3.94,1.05,1.95,1.4,1.31,2.16,4.36,1.88,2.96,8.88
2024-10-19 00:00:00,16:30:00,AL1,1,Freiburg,Augsburg,3 - 0,3 - 1,1.44,3.64,4.5,1.92,2.19,4.65,1.51,1.89,0.0,1.05,1.62,1.37,2.17,3.92,1.07,1.97,1.46,1.33,2.29,4.19,1.86,3.02,9.39
2024-10-19 00:00:00,22:00:00,HOL,2,Go Ahead Eagle,Feyenoord,0 - 3,1 - 5,3.18,3.39,1.72,3.69,2.06,2.29,1.48,1.94,1.41,1.06,1.08,1.33,2.29,3.63,1.09,1.87,1.52,1.27,2.46,3.83,1.83,3.2,10.85
